12.12.2021,2148249,Электроэнергетика,500
12.12.2021,2177433,Применения UL-разложения,340
12.12.2021,2176246,Регрессионная и феноменологическая модели в приборостроении,400
19.12.2021,2183600,Решение задач в Матлабе на логику и комплексные числа,276
15.12.2021,2183798,Теорема Лагранжа о дифференциировании,250
17.12.2021,2185577,Математический анализ контрольная работа,300
19.12.2021,2187764,Евклид и оптика,255
21.12.2021,2190042,Две задачи по комбинаторному анализу и графы,400
30.12.2021,2192619,Нечеткие функции имодели разрывных нелинейностей,300
30.12.2021,2196158,Агентное моделирование популяции песчаных червей из научно-фантастического романа Ф.Герберта Дюна в scilab,392
30.12.2021,2191770,Техническое обслуживание и ремонт радиоэлектронной техники,300
07.01.2022,2168433,АСУ - проектирование систем электронных коммуникаций,646