Релеве на носочках,5
Релеве выворотно,10
Релеве заворотно,10
Релеве на носочках,5
Приседания,10
Сидим,5
Круговые вращения коленом,5
во внутрь,5
Другая нога,5
и во внутрь,5
плеешка,10
выпады всторону,10
Расправляем крылышки,10
Боковые наклоны вправо,10
Боковые наклоны влево,10
Складка обнимашка,30
Мельница, 10
Провис в плечах у стены,30
С резинкой, 30
Круговые вращения тазом,10
В другую сторону,10
Скрутка у стены,15
В другую сторону,15
Махи правой ногой вперед, 10
Левой, 10
Махи правой ногой вбок, 10
Левой, 10
Махи правой ногой назад, 10
Левой, 10
Держим правую ногу впереди,10
Держим правую ногу всторону,10
Держим правую ногу назад,10
Держим левую ногу впереди,10
Держим левую ногу всторону,10
Держим левую ногу назад,10
Тайм аут перед собакой,10
Собака мордой вниз,10
Собака мордой вниз. Подъем плечь,10
Разминаем кулачки ног,10
Отгибаем естесственным образом пальцы ног,10
Собака мордой вниз переходим на кулачки ног с весом на руках,10
Подъем в мостик с пола стоим качаемся выпрямляем ноги стараемся перекинуться,10
Тайм аут. Садимся на попу,10
Берем согнутую правую ногу. Выпрямляем,10
Держим прямую за пятку,10
Берем согнутую левую ногу. Выпрямляем,10
Держим прямую за пятку,10
Одну ногу в бабочку. Наклоны вперед,10
Наклоны в середину,10
Боковые наклоны,10
Другая нога. Наклоны вперед,10
Наклоны в середину,10
Боковые наклоны,10
Одну ногу закидываем назад. Наклоны вперед,10
Другая нога. Наклоны вперед,10
Тайм аут перед на коленях,10
Сгиб назад в выпаде левая нога,20
Наклоны к прямой ноге,20
Нога прижата сзади,15
На локтях,15
Лебедь на левой ноге,15
Сгиб назад в выпаде правая нога,20
Наклоны к прямой ноге,20
Нога прижата сзади,15
На локтях,15
Лебедь на правой ноге,15
тайм аут перед бабочка,10
Бабочка,60
тайм аут перед лягушка,10
Лягушка,60
Лягушка с вытянутой правой ногой,60
Лягушка с вытянутой левой ногой,60
Ходьба с поднятыми коленями,10
Вращения тазом,10
В другую сторону,10
Приседания,10
тайм аут,10
Шпагат поперечный,30
тайм аут,15
Шпагат поперечный с возвышенности на правой ноге,20
тайм аут,10
Шпагат поперечный с возвышенности на левой ноге,20
тайм аут,15
Шпагат поперечный,20
тайм аут,10
Шпагат левый продольный,30
тайм аут,10
Шпагат левый продольный с возвышенности,20
тайм аут,10
Шпагат левый продольный,20
тайм аут,10
Шпагат правый продольный,30
тайм аут,10
Шпагат правый продольный с возвышенности,20
тайм аут,10
Шпагат правый продольный,20